Ástaigos_kodas;Ataskaitinio_laikotarpio_pradþia;Ataskaitinio_laikotarpio_pabaiga;Gydytojo_ID;Prisiraðiusiø_prie_gydytojo_gyventojø_skaièius;Gydytojo_viso_ataskaitinio_laikotarpio_darbo_valandø_kiekis_viso;Áraðo_sukûrimo_data
124244035;2023-01-01;2023-03-31;31286;1 511;76,00;2023-04-04
124244035;2023-01-01;2023-03-31;21468;1 626;455,58;2023-04-04
124244035;2023-01-01;2023-03-31;15459;1 494;319,20;2023-04-04
124244035;2023-01-01;2023-03-31;25492;1 581;391,73;2023-04-04
124244035;2023-01-01;2023-03-31;16754;1 095;523,07;2023-04-04
124244035;2023-01-01;2023-03-31;23014;266;36,48;2023-04-04
124244035;2023-01-01;2023-03-31;4136;1 511;448,40;2023-04-04
124244035;2023-01-01;2023-03-31;10209;1 500;471,20;2023-04-04
124244035;2023-01-01;2023-03-31;17706;1 645;500,61;2023-04-04
124244035;2023-01-01;2023-03-31;23027;1 635;525,23;2023-04-04
124244035;2023-01-01;2023-03-31;16365;335;100,70;2023-04-04
124244035;2023-01-01;2023-03-31;18055;1 674;539,95;2023-04-04
124244035;2023-01-01;2023-03-31;25416;1 629;475,99;2023-04-04
124244035;2023-01-01;2023-03-31;34841;1 522;448,40;2023-04-04
124244035;2023-01-01;2023-03-31;22347;1 597;482,98;2023-04-04
124244035;2023-01-01;2023-03-31;31553;1 503;493,20;2023-04-04
124244035;2023-01-01;2023-03-31;25777;2 007;560,50;2023-04-04
124244035;2023-01-01;2023-03-31;24979;1 446;395,20;2023-04-04
124244035;2023-01-01;2023-03-31;21428;1 553;478,80;2023-04-04
124244035;2023-01-01;2023-03-31;21350;1 549;478,80;2023-04-04
124244035;2023-01-01;2023-03-31;16900;1 517;463,60;2023-04-04
124244035;2023-01-01;2023-03-31;16803;1 247;480,89;2023-04-04
124244035;2023-01-01;2023-03-31;30940;1 315;539,84;2023-04-04
124244035;2023-01-01;2023-03-31;23008;1 544;448,40;2023-04-04
124244035;2023-01-01;2023-03-31;33492;1 415;410,40;2023-04-04
124244035;2023-01-01;2023-03-31;26311;1 233;413,40;2023-04-04
124244035;2023-01-01;2023-03-31;18056;419;108,68;2023-04-04
124244035;2023-01-01;2023-03-31;12523;1 406;456,00;2023-04-04
124244035;2023-01-01;2023-03-31;17155;1 628;718,20;2023-04-04
124244035;2023-01-01;2023-03-31;23024;1 549;440,80;2023-04-04
124244035;2023-01-01;2023-03-31;18268;1 525;402,80;2023-04-04
124244035;2023-01-01;2023-03-31;8494;1 520;486,40;2023-04-04
124244035;2023-01-01;2023-03-31;11112;1 501;402,80;2023-04-04
124244035;2023-01-01;2023-03-31;10486;1 438;418,00;2023-04-04
124244035;2023-01-01;2023-03-31;17271;1 601;729,60;2023-04-04
124244035;2023-01-01;2023-03-31;34065;1 473;433,20;2023-04-04
124244035;2023-01-01;2023-03-31;35288;1 275;456,00;2023-04-04
124244035;2023-01-01;2023-03-31;34041;1 567;82,00;2023-04-04
124244035;2023-01-01;2023-03-31;34208;1 553;380,00;2023-04-04
124244035;2023-01-01;2023-03-31;4356;1 516;448,40;2023-04-04
124244035;2023-01-01;2023-03-31;8466;1 183;455,58;2023-04-04
124244035;2023-01-01;2023-03-31;32276;1 488;486,40;2023-04-04
124244035;2023-01-01;2023-03-31;11218;1 495;486,40;2023-04-04
124244035;2023-01-01;2023-03-31;24608;1 521;478,80;2023-04-04
124244035;2023-01-01;2023-03-31;26261;1 791;533,14;2023-04-04
124244035;2023-01-01;2023-03-31;361;1 567;486,40;2023-04-04
124244035;2023-01-01;2023-03-31;32757;1 467;463,60;2023-04-04
124244035;2023-01-01;2023-03-31;121232;1 600;484,19;2023-04-04
124244035;2023-01-01;2023-03-31;33161;721;313,50;2023-04-04
124244035;2023-01-01;2023-03-31;34790;1 577;402,80;2023-04-04
124244035;2023-01-01;2023-03-31;25487;1 519;342,00;2023-04-04
124244035;2023-01-01;2023-03-31;31886;1 690;413,40;2023-04-04
124244035;2023-01-01;2023-03-31;34768;1 108;456,00;2023-04-04
124244035;2023-01-01;2023-03-31;30089;1 091;440,80;2023-04-04
124244035;2023-01-01;2023-03-31;33562;1 578;486,40;2023-04-04
124244035;2023-01-01;2023-03-31;25496;1 640;506,20;2023-04-04
124244035;2023-01-01;2023-03-31;26268;305;123,35;2023-04-04
124244035;2023-01-01;2023-03-31;30814;1 121;402,80;2023-04-04
124244035;2023-01-01;2023-03-31;31559;1 511;380,00;2023-04-04
124244035;2023-01-01;2023-03-31;5579;1 278;445,74;2023-04-04
124244035;2023-01-01;2023-03-31;34830;1 502;425,60;2023-04-04
124244035;2023-01-01;2023-03-31;32042;1 732;332,68;2023-04-04
124244035;2023-01-01;2023-03-31;33554;1 547;381,80;2023-04-04
124244035;2023-01-01;2023-03-31;33203;1 053;433,20;2023-04-04
124244035;2023-01-01;2023-03-31;30758;389;402,80;2023-04-04
124244035;2023-01-01;2023-03-31;34846;1 524;471,20;2023-04-04
124244035;2023-01-01;2023-03-31;35338;1 523;410,40;2023-04-04
124244035;2023-01-01;2023-03-31;35389;670;448,40;2023-04-04
124244035;2023-01-01;2023-03-31;35349;1 510;476,83;2023-04-04
124244035;2023-01-01;2023-03-31;35218;1 490;402,80;2023-04-04
124244035;2023-01-01;2023-03-31;34838;863;522,50;2023-04-04
124244035;2023-01-01;2023-03-31;35145;1 531;448,40;2023-04-04
124244035;2023-01-01;2023-03-31;12598;1 071;514,64;2023-04-04
124244035;2023-01-01;2023-03-31;33311;903;372,40;2023-04-04
124244035;2023-01-01;2023-03-31;17729;980;506,20;2023-04-04
124244035;2023-01-01;2023-03-31;8636;915;517,02;2023-04-04
